Province/State,Country/Region,Lat,Long,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
Capital Federal,Argentina,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Buenos Aires,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catamarca,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chubut,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corrientes,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entre Rios,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formosa,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Pampa,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Rioja,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mendoza,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Misiones,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuquen,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Negro,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salta,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Juan,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fe,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago del Estero,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tierra del Fuego,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tucuman,Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,Argentina,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
